Date,Close,Volume
2009-02-19,141.57,182056192
2009-02-20,140.37,214644400
2009-02-23,136.72,164036304
2009-02-24,143.28,202543600
2009-02-25,141.61,188962592
2009-02-26,138.48,158026000
2009-02-27,138.22,216918304
2009-03-02,132.33,172835696
2009-03-03,130.82,201703200
2009-03-04,134.5,176739600
2009-03-05,128.25,193444496
2009-03-06,127.3,191888400
2009-03-09,125.72,161800608
2009-03-10,134.87,214565104
2009-03-11,135.96,165949696
2009-03-12,141.53,163607808
2009-03-13,142.68,150507904
2009-03-16,140.08,147836992
2009-03-17,146.35,138433104
2009-03-18,151.05,173902304
2009-03-19,149.24,161342000
2009-03-20,146.04,259197104
2009-03-23,156.68,155379504
2009-03-24,154.322,144532704
2009-03-25,155.95,177330000
2009-03-26,162.17,184602096
2009-03-27,158.83,140719600
2009-03-30,153.53,150305296
2009-03-31,154.82,176938592
2009-04-01,157.99,157815504
2009-04-02,166.26,189239600
2009-04-03,168.87,158427200
2009-04-06,166.81,160117600
2009-04-07,161.64,136120400
2009-04-08,166.2,221115296
2009-04-09,173.24,182303296
2009-04-13,172.48,131280096
2009-04-14,168.64,156256000
2009-04-15,169.58,146268800
2009-04-16,175.4,162639504
2009-04-17,177.6,197884400
2009-04-20,169.78,154524496
2009-04-21,173.71,148852608
2009-04-22,175.21,188610592
2009-04-23,175.35,190657200
2009-04-24,180.03,200723600
2009-04-27,176.78,176468496
2009-04-28,177.19,152335904
2009-04-29,181.18,172992192
2009-04-30,183.51,232577504
2009-05-01,182.3,152606096
2009-05-04,188.47,174841600
2009-05-05,188.55,153289904
2009-05-06,190.21,190648400
2009-05-07,186.79,200227296
2009-05-08,188.66,169743600
2009-05-11,184.76,142667600
2009-05-12,180.62,176578400
2009-05-13,174.85,283975296
2009-05-14,176.2,182830592
2009-05-15,174.99,173427600
2009-05-18,182.46,152014000
2009-05-19,182.22,143228496
2009-05-20,180.49,157588896
2009-05-21,176.29,168324992
2009-05-22,176.88,134819808
2009-05-26,183.57,171003696
2009-05-27,179.4,164094704
2009-05-28,179.07,174512992
2009-05-29,181.57,249589904
2009-06-01,189.95,229690800
2009-06-02,191.679,144530096
2009-06-03,189.78,141754496
2009-06-04,189.27,133331504
2009-06-05,188.8,133401400
2009-06-08,189.57,117993200
2009-06-09,191.05,109576896
2009-06-10,189.06,117794496
2009-06-11,187.24,130371400
2009-06-12,187.55,91866384
2009-06-15,183.48,109695696
2009-06-16,179.17,131321504
2009-06-17,180.9,137191200
2009-06-18,180.41,110421696
2009-06-19,182.02,236796192
2009-06-22,177.11,136373104
2009-06-23,175.78,126582304
2009-06-24,176.74,130444600
2009-06-25,181.9,136041600
2009-06-26,181.11,199692496
2009-06-29,182.93,107052496
2009-06-30,182.15,143046304
2009-07-01,182.83,110442400
2009-07-02,176.08,95121696
2009-07-06,176.35,123897600
2009-07-07,171.91,122232496
2009-07-08,173.15,149902304
2009-07-09,174.29,122147104
2009-07-10,173.75,101683200
2009-07-13,177.06,124490200
2009-07-14,179.75,108348600
2009-07-15,184.71,143575808
2009-07-16,186.92,119014600
2009-07-17,187.12,135511600
2009-07-20,191.47,119242200
2009-07-21,190.73,117353400
2009-07-22,192.55,137605408
2009-07-23,197.12,187925408
2009-07-24,196.78,114070896
2009-07-27,197.23,125626600
2009-07-28,197.28,123457200
2009-07-29,195.64,110463200
2009-07-30,198.93,133044000
2009-07-31,199.22,146221696
2009-08-03,203.1,145399200
2009-08-04,203.62,139142800
2009-08-05,202.42,126279800
2009-08-06,202.19,135295696
2009-08-07,208.89,153899392
2009-08-10,206.44,119978200
2009-08-11,204.31,117130704
2009-08-12,206.28,122607200
2009-08-13,206.68,89428312
2009-08-14,203.48,111014304
2009-08-17,197.04,135895504
2009-08-18,199.73,124483600
2009-08-19,201.63,110524304
2009-08-20,203.21,107083000
2009-08-21,207.34,148130208
2009-08-24,205.39,117088496
2009-08-25,207.88,125040096
2009-08-26,208.81,113133696
2009-08-27,209.5,104264304
2009-08-28,209.28,112289904
2009-08-31,205.86,128175200
2009-09-01,201.76,160207696
2009-09-02,200.69,123600000
2009-09-03,203.32,131305200
2009-09-04,206.29,104023904
2009-09-08,208.38,124871000
2009-09-09,210.69,133320496
2009-09-10,213.68,136726304
2009-09-11,212.71,132688400
2009-09-14,213.65,111571104
2009-09-15,214.53,146280400
2009-09-16,218.64,150515200
2009-09-17,217.81,153509904
2009-09-18,219.47,227120704
2009-09-21,218.27,122411600
2009-09-22,218.88,127261800
2009-09-23,215.96,141524400
2009-09-24,213.99,138638592
2009-09-25,212.13,128096800
2009-09-28,216.38,93468736
2009-09-29,217.42,120490096
2009-09-30,216.48,183276000
2009-10-01,211.5,190041904
2009-10-02,208.77,149054208
2009-10-05,212.42,119383904
2009-10-06,215.59,127486096
2009-10-07,215.77,123538704
2009-10-08,219.08,152875904
2009-10-09,219.11,105358496
2009-10-12,219.27,121704200
2009-10-13,220.23,129206400
2009-10-14,223.62,140602800
2009-10-15,223.89,144973296
2009-10-16,222.64,145728800
2009-10-19,225.71,111094704
2009-10-20,223.26,119207504
2009-10-21,220.03,136615904
2009-10-22,223.7,143611904
2009-10-23,222.07,142892096
2009-10-26,220.89,142121296
2009-10-27,217.21,167523392
2009-10-28,211.21,195567200
2009-10-29,216.96,153152304
2009-10-30,211.1,167379504
2009-11-02,213.01,176187696
2009-11-03,213.58,163125904
2009-11-04,213.3,173474400
2009-11-05,218.79,169756192
2009-11-06,221.02,148039808
2009-11-09,225.88,157538208
2009-11-10,226.02,128563400
2009-11-11,227.1,132906704
2009-11-12,224.8,128508896
2009-11-13,228.29,129325000
2009-11-16,232.06,138842704
2009-11-17,230.42,126459296
2009-11-18,229.63,114059200
2009-11-19,226.94,154358400
2009-11-20,225.68,151133504
2009-11-23,227.68,113790800
2009-11-24,227.27,111015000
2009-11-25,229.52,84050840
2009-11-27,226.11,69570640
2009-11-30,225.31,151472000
2009-12-01,228.31,136520192
2009-12-02,228.96,114291504
2009-12-03,227.29,142810704
2009-12-04,228.97,169846896
2009-12-07,229.99,136387200
2009-12-08,228.22,132556800
2009-12-09,227.8,115655904
2009-12-10,230.97,128414800
2009-12-11,233.33,111667200
2009-12-14,235.4,99950704
2009-12-15,234.63,119662600
2009-12-16,235.02,108898000
2009-12-17,232.2,111431904
2009-12-18,233.42,251970304
2009-12-21,236.35,96873904
2009-12-22,236.71,96102152
2009-12-23,237.68,84830672
2009-12-24,237.95,32562940
2009-12-28,237.89,65987460
2009-12-29,238.39,65628368
2009-12-30,237.4,68610928
2009-12-31,235.07,70576752
2010-01-04,236.46,108238304
2010-01-05,237.62,135656608
2010-01-06,237.59,134139200
2010-01-07,239.63,160300496
2010-01-08,239.6,119423104
2010-01-11,239.36,118910704
2010-01-12,236.37,127555504
2010-01-13,238.55,116549000
2010-01-14,238.65,107667296
2010-01-15,236.51,157781408
2010-01-19,239.29,98349616
2010-01-20,236.48,113797600
2010-01-21,233.42,146113600
2010-01-22,229.1,161132496
2010-01-25,229.88,116638896
2010-01-26,230.09,121914096
2010-01-27,230.9,140857408
2010-01-28,229.42,145948992
2010-01-29,228.13,181217696
2010-02-01,230.65,133148200
2010-02-02,234.01,145317600
2010-02-03,234.37,141955392
2010-02-04,227.68,169812992
2010-02-05,226.61,172466000
2010-02-08,225.69,131944800
2010-02-09,228.87,136044192
2010-02-10,227.83,116193000
2010-02-11,230.32,126777296
2010-02-12,230.29,133259800
2010-02-16,234.07,110662400
2010-02-17,235.98,103124896
2010-02-18,237.44,100422600
2010-02-19,238.26,128370704
2010-02-22,237.96,97711504
2010-02-23,236.6317,123887904
2010-02-24,239.7748,120390304
2010-02-25,239.6494,128256600
2010-02-26,240.2188,126320496
2010-03-01,244.1005,127038600
2010-03-02,243.3745,143485104
2010-03-03,243.4347,116529400
2010-03-04,245.8031,124937000
2010-03-05,249.6763,121480704
2010-03-08,250.5647,96759680
2010-03-09,250.3537,102750096
2010-03-10,251.1655,99096552
2010-03-11,252.5727,90850328
2010-03-12,253.164,101718496
2010-03-15,253.479,100557200
2010-03-16,254.9028,109605800
2010-03-17,256.1391,96325200
2010-03-18,256.2421,108015504
2010-03-19,254.6792,238273792
2010-03-22,258.0222,112872896
2010-03-23,259.1407,112266200
2010-03-24,257.9278,104110496
2010-03-25,259.3114,124953904
2010-03-26,260.6966,99207800
2010-03-29,260.6483,100290096
2010-03-30,260.7199,96488968
2010-03-31,258.6931,157011200
2010-04-01,260.5955,114024800
2010-04-05,263.6742,106098800
